,Original Index,Sample Mean,Sample Mean Rank,Sample Standard Deviation,Sample Standard Deviation Rank
279,279,48.666666666666664,116,33.672088200904966,130
280,280,43.46666666666667,44,22.912462817884776,7
281,281,55.0,231,54.26917041141183,458
282,282,59.86666666666667,313,24.7815215336712,17
283,283,52.733333333333334,192,39.56995011850472,195
284,284,61.86666666666667,345,42.380700908831244,270
285,285,59.6,309,35.59855534789499,153
286,286,44.46666666666667,57,34.78478047050107,143
287,287,53.93333333333333,215,48.0468025793105,371
288,288,61.4,339,41.3518007899466,245
289,289,76.33333333333333,481,44.47899450730595,316
290,290,65.8,408,48.296997836304485,377
291,291,75.8,480,49.02943722179273,398
292,292,64.93333333333334,395,37.13963355974828,167
293,293,57.4,276,52.3174376829971,439
294,294,58.93333333333333,303,55.039552877475124,473
295,295,58.6,293,57.719518857513506,489
296,296,75.73333333333333,478,48.19227363483942,375
297,297,48.266666666666666,105,41.418537372718006,247
298,298,51.13333333333333,156,51.895315872666295,433
299,299,53.06666666666667,199,31.528822792274795,104
300,300,77.93333333333334,488,51.72104665092023,430
301,301,69.2,446,48.457934629649955,380
302,302,58.86666666666667,301,48.638413194667834,388
303,303,32.2,2,30.655225609067976,96
304,304,57.46666666666667,277,37.33222787478988,171
305,305,52.266666666666666,184,44.44493650521262,314
306,306,72.4,464,52.27099714810444,438
307,307,59.2,306,51.20156247615887,424
308,308,49.46666666666667,127,29.303502147273083,73
309,309,53.666666666666664,212,44.885038338701094,325
310,310,55.4,242,44.176270294614696,306
311,311,67.8,432,42.31716976763518,267
312,312,46.93333333333333,87,33.4844669034692,129
313,313,47.333333333333336,93,29.781745767372016,81
314,314,56.13333333333333,255,52.46885697612396,442
315,315,66.6,419,53.08995062290845,448
316,316,77.93333333333334,489,47.79041545669811,365
317,317,55.733333333333334,250,40.68953299361023,229
318,318,62.0,346,31.726509870633873,108
319,319,49.46666666666667,129,40.31459619873014,216
320,320,49.0,119,28.22612771377409,58
321,321,55.06666666666667,232,43.90650239293666,299
322,322,60.733333333333334,327,42.42382529170315,272
323,323,52.2,181,44.28995371413251,311
324,324,69.0,442,53.894076006286895,455
325,325,32.4,3,22.856071403458646,6
326,326,61.8,344,53.71512157404361,453
327,327,33.0,5,36.72290060127915,165
328,328,59.93333333333333,317,25.12956899939269,22
329,329,69.13333333333334,445,40.339393484120045,217
330,330,35.733333333333334,6,40.91361398756909,236
331,331,61.0,331,47.25462940284264,359
332,332,62.266666666666666,351,41.722667129283,253
333,333,49.266666666666666,124,43.4847537594938,290
334,334,63.666666666666664,373,52.70357356637847,446
335,335,54.666666666666664,223,23.129037614055214,9
336,336,61.666666666666664,341,42.437629304102046,273
337,337,54.46666666666667,222,27.869252557168412,54
338,338,69.73333333333333,449,48.76396015013352,390
339,339,64.53333333333333,387,59.78039175260763,494
340,340,63.733333333333334,376,36.00092591401875,159
341,341,44.06666666666667,50,42.98914591692496,281
